Role,Domain,Education,Skills,Interests,Recommended_Career
Category Analyst,Retail & E-commerce,bba|commerce|mba retail|business administration,"merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, data analysis, pricing, market research, catalog analysis","online retail, catalog, pricing, order management, category insights, pricing analysis, assortment review",category analyst
Hotel Operations Executive,Hospitality & Travel,hotel management|hospitality|travel tourism,"guest relations, reservation systems, operations management, communication, customer service, billing","hotel operations, front office, service delivery, travel planning, guest services",hotel operations executive
Travel Consultant,Hospitality & Travel,hotel management|hospitality|travel tourism,"guest relations, reservation systems, operations management, communication, customer service, travel planning, itinerary planning","hotel operations, front office, service delivery, travel planning, travel bookings, itineraries, customer travel support",travel consultant
Guest Relations Manager,Hospitality & Travel,hotel management|hospitality|travel tourism,"guest relations, reservation systems, operations management, communication, customer service, service recovery, team coordination","hotel operations, front office, service delivery, travel planning, guest experience, hospitality management",guest relations manager
Events Coordinator,Hospitality & Travel,hotel management|hospitality|travel tourism,"guest relations, reservation systems, operations management, communication, customer service, event planning, vendor coordination, budget tracking","hotel operations, front office, service delivery, travel planning, events planning, venue coordination, event execution",events coordinator
Data Engineer,Software Engineering,btech computer science|be computer engineering|bca|mca|bsc computer science,"python, sql, spark, kafka, airflow, data pipelines, etl, cloud storage, hadoop, data modeling, dbt, redshift","data infrastructure, pipeline design, batch processing, real time data, data warehousing",data engineer
Embedded Software Engineer,Software Engineering,btech computer science|btech electronics|be embedded systems|mtech,"c, c++, rtos, embedded linux, firmware, microcontrollers, iot, debugging, hardware interfaces, serial communication, memory management","embedded systems, firmware, iot devices, hardware software integration, low level programming",embedded software engineer
Platform Engineer,Software Engineering,btech computer science|be computer engineering|bca|mca,"python, kubernetes, helm, terraform, ci cd, internal developer platforms, backstage, observability, cloud, api gateways","developer experience, platform tooling, internal tools, infrastructure automation, developer productivity",platform engineer
Security Engineer,Software Engineering,btech computer science|be computer engineering|bca|mca|cybersecurity,"python, devsecops, sast, dast, owasp, code review, threat modeling, vulnerability scanning, ci cd, secure sdlc","secure coding, application security, vulnerability management, security testing, devsecops",security engineer
Technical Lead,Software Engineering,btech computer science|be computer engineering|mca,"python, java, system design, code review, mentoring, architecture, agile, project planning, stakeholder communication, performance tuning","technical leadership, software architecture, team mentorship, code quality, delivery management, engineering leadership, system design",technical lead
Game Developer,Software Engineering,btech computer science|be computer engineering|bsc computer science|game design,"unity, unreal engine, c++, c#, game physics, graphics programming, game ai, multiplayer networking, shader programming","game development, interactive experiences, game design, rendering, simulation",game developer
Data Scientist,Artificial Intelligence,btech computer science|mtech ai|msc data science|msc statistics|phd,"python, machine learning, statistics, deep learning, scikit-learn, pandas, numpy, feature engineering, model evaluation, sql, experimentation","predictive modeling, statistical analysis, experimentation, machine learning research, decision science",data scientist
Generative AI Engineer,Artificial Intelligence,btech computer science|mtech ai|msc ai|msc data science|mca,"python, llm, langchain, prompt engineering, rag, vector databases, openai api, fine tuning, huggingface, transformers","generative ai, llm applications, conversational ai, rag systems, ai product development",generative ai engineer
AI Research Scientist,Artificial Intelligence,phd computer science|phd machine learning|mtech ai|msc data science,"python, deep learning, pytorch, research, paper writing, experimentation, statistics, reinforcement learning, mathematical modeling","fundamental ai research, novel architectures, reinforcement learning, model interpretability, academic publishing",ai research scientist
Robotics Engineer,Artificial Intelligence,btech computer science|btech electronics|mtech robotics|btech mechanical,"python, ros, embedded systems, computer vision, control systems, kinematics, sensor fusion, c++, simulation","robotics, autonomous systems, robot programming, motion planning, human robot interaction",robotics engineer
Speech Recognition Engineer,Artificial Intelligence,btech computer science|mtech ai|msc data science|mtech signal processing,"python, deep learning, speech processing, kaldi, wav2vec, asr, pytorch, audio features, hmm, nlp","speech ai, voice technology, asr systems, speech synthesis, audio intelligence",speech recognition engineer
Marketing Analyst,Data Science & Analytics,bsc statistics|bba|mba|msc data science,"python, sql, google analytics, excel, a/b testing, attribution modeling, cohort analysis, tableau, marketing metrics","marketing measurement, campaign analytics, customer segmentation, growth analytics, funnel analysis",marketing analyst
Product Analyst,Data Science & Analytics,bsc statistics|btech|msc data science|mba,"python, sql, excel, product analytics, mixpanel, amplitude, a/b testing, cohort analysis, user behavior analysis","product metrics, user journey analysis, experimentation, funnel optimization, feature analysis",product analyst
Cloud Architect,Cloud & Infrastructure,btech computer science|be information technology|mca|mtech,"aws, azure, gcp, solution architecture, terraform, networking, security, cost optimization, cloud migration, microservices, well architected framework","cloud strategy, solution architecture, multi cloud, enterprise cloud adoption, cloud security",cloud architect
Database Administrator,Cloud & Infrastructure,btech computer science|be information technology|bca|mca,"mysql, postgresql, oracle, sql server, query optimization, backup recovery, replication, monitoring, linux, performance tuning","database management, performance optimization, data availability, storage management, database security",database administrator
Infrastructure Engineer,Cloud & Infrastructure,btech computer science|be information technology|bca|mca,"linux, networking, vmware, storage, servers, cloud platforms, monitoring, scripting, disaster recovery, capacity planning","infrastructure operations, data centers, virtualization, server management, reliability",infrastructure engineer
Security Operations Engineer,Cloud & Infrastructure,btech computer science|cybersecurity|be information technology|mca,"linux, siem, firewalls, ids ips, cloud security, iam, compliance, incident response, vulnerability scanning, scripting","cloud security, infrastructure hardening, compliance, threat monitoring, security automation",security operations engineer
Cloud Security Engineer,Cybersecurity,btech computer science|cybersecurity|information security|mca,"aws security, azure security, cspm, iam, encryption, zero trust, kubernetes security, compliance, terraform, siem","cloud security posture, zero trust, cloud compliance, infrastructure security, devsecops",cloud security engineer
Digital Forensics Analyst,Cybersecurity,btech computer science|cybersecurity|information security|forensic science,"digital forensics, malware analysis, memory forensics, network forensics, incident response, autopsy, volatility, chain of custody","digital investigation, malware analysis, incident forensics, cybercrime investigation, threat attribution",digital forensics analyst
Security Architect,Cybersecurity,btech computer science|cybersecurity|mtech|information security,"security architecture, threat modeling, zero trust, network security, cloud security, iam, encryption, risk management, cissp, enterprise security","enterprise security design, security frameworks, architecture review, risk mitigation, security strategy",security architect
Threat Intelligence Analyst,Cybersecurity,btech computer science|cybersecurity|information security|mca,"threat intelligence, osint, mitre att&ck, malware analysis, ioc analysis, siem, python, threat hunting, dark web monitoring","threat landscape, adversary tracking, ioc feeds, threat hunting, strategic intelligence",threat intelligence analyst
Corporate Finance Analyst,Finance & Accounting,mba finance|ca|cfa|bcom|bba finance,"financial modeling, dcf valuation, m&a analysis, excel, powerpoint, pitch decks, capital markets, equity research","corporate finance, mergers acquisitions, capital structure, fundraising, strategic finance",corporate finance analyst
Treasury Analyst,Finance & Accounting,mba finance|ca|bcom|bba finance,"cash management, forex, liquidity management, banking relationships, investment, hedging, treasury systems, financial reporting","cash flow management, foreign exchange, working capital, treasury operations, liquidity planning",treasury analyst
Financial Controller,Finance & Accounting,ca|mba finance|cpa|cma|bcom,"accounting, financial reporting, ifrs, gaap, budgeting, audit, internal controls, erp, consolidation, variance analysis","financial controls, statutory reporting, budgeting, audit readiness, accounting standards",financial controller
Credit Analyst,Finance & Accounting,mba finance|ca|cfa|bcom|bba finance,"credit assessment, financial analysis, risk rating, loan structuring, excel, financial modeling, banking, credit risk frameworks","credit risk, loan underwriting, credit portfolio, banking, counterparty risk",credit analyst
Product Designer,Design & UX,bdes|mdes|btech computer science|bfa|diploma design,"figma, user research, wireframing, prototyping, design systems, usability testing, interaction design, visual design, accessibility","product design, end to end design, design systems, user centered design, design thinking",product designer
Design Researcher,Design & UX,bdes|mdes|psychology|bba|human computer interaction,"user research, qualitative methods, interviews, usability testing, synthesis, affinity mapping, survey design, persona development","user research, behavioral insights, design discovery, empathy mapping, usability",design researcher
Brand Designer,Design & UX,bdes|bfa|graphic design diploma|mdes,"branding, visual identity, typography, color theory, logo design, brand guidelines, illustrator, photoshop, packaging design","brand identity, visual communication, brand strategy, logo design, typography",brand designer
Design Lead,Design & UX,bdes|mdes|bfa|human computer interaction,"figma, design strategy, team leadership, stakeholder management, design systems, product thinking, mentoring, interaction design","design leadership, design ops, cross functional collaboration, design culture, team building",design lead
Corporate Trainer,Education & Research,mba|pgdm|ma education|btech|psychology,"training delivery, learning design, lms, facilitation, content development, needs analysis, adult learning, feedback","professional development, employee learning, training programs, workshop facilitation, capability building",corporate trainer
Curriculum Developer,Education & Research,ma education|bed|msc|instructional design certification,"curriculum design, bloom's taxonomy, learning objectives, content authoring, articulate, lms, assessment design, instructional design","curriculum design, instructional strategy, learning outcomes, educational content, training modules",curriculum developer
EdTech Product Specialist,Education & Research,mba|btech|ma education|bca,"lms platforms, instructional design, product management, user research, e-learning, content strategy, analytics, stakeholder management","education technology, e-learning, edtech products, learning platforms, digital education",edtech product specialist
University Lecturer,Education & Research,phd|mphil|mtech|msc|mca|ma,"lecture delivery, research, academic writing, course design, grading, student mentoring, subject expertise, academic publishing, classroom management, project supervision, presentation","university lecturer, college professor, academic faculty, higher education, teaching, publishing, student development, curriculum planning, research supervision, faculty responsibilities, accreditation",university lecturer
Power Systems Engineer,Electrical & Electronics Engineering,btech electrical|be electrical|mtech power systems,"power systems, protection relays, scada, load flow analysis, switchgear, substation design, etap, power quality","power grid, energy systems, substation design, protection systems, renewable integration",power systems engineer
VLSI Design Engineer,Electrical & Electronics Engineering,btech electronics|mtech vlsi|be electronics|mtech microelectronics,"verilog, vhdl, rtl design, synthesis, timing analysis, dft, asic, fpga, cadence, synopsys","chip design, rtl coding, vlsi architecture, semiconductor, hardware design",vlsi design engineer
IoT Engineer,Electrical & Electronics Engineering,btech electronics|btech computer science|be embedded systems|mtech,"iot protocols, mqtt, embedded c, microcontrollers, raspberry pi, arduino, cloud iot, sensors, wireless communication, firmware","iot solutions, connected devices, sensor networks, smart systems, edge computing",iot engineer
Instrumentation Engineer,Electrical & Electronics Engineering,btech instrumentation|be electronics|btech electrical|mtech,"pid control, plc, scada, sensors, transmitters, calibration, dcs, process control, p&id, field instruments","process automation, instrumentation, control systems, industrial automation, plant operations",instrumentation engineer
HR Analytics Specialist,Human Resources,mba hr|pgdm|bsc statistics|ma hr,"excel, python, hr metrics, attrition analysis, workforce planning, people analytics, tableau, sql, survey analysis","people analytics, hr data, workforce planning, employee engagement metrics, talent analytics",hr analytics specialist
Diversity and Inclusion Specialist,Human Resources,mba hr|ma sociology|pgdm|psychology,"dei programs, policy development, bias training, culture building, data analysis, stakeholder engagement, communication","diversity equity inclusion, organizational culture, belonging, inclusive hiring, culture change",diversity and inclusion specialist
Employee Relations Specialist,Human Resources,mba hr|ma ir|pgdm|llb,"labor law, grievance handling, disciplinary process, conflict resolution, policy interpretation, hr compliance, documentation","employee relations, workplace harmony, labor compliance, grievance management, policy adherence",employee relations specialist
Talent Development Manager,Human Resources,mba hr|pgdm|psychology|ma education,"leadership development, succession planning, talent frameworks, coaching, l&d strategy, learning programs, performance management","talent growth, leadership pipeline, career development, succession planning, organizational capability",talent development manager
IT Consultant,Consulting,btech|mba|mtech|pgdm,"it strategy, solution architecture, erp, stakeholder management, requirements analysis, project management, change management, documentation","it advisory, digital transformation, enterprise systems, technology strategy, process optimization",it consultant
Financial Advisory Analyst,Consulting,mba finance|ca|cfa|bcom,"financial analysis, modeling, due diligence, m&a, valuation, excel, powerpoint, client management, research","deal advisory, financial consulting, transaction services, m&a, restructuring",financial advisory analyst
HR Consultant,Consulting,mba hr|pgdm|psychology|ma hr,"hr strategy, job evaluation, org design, change management, hr policies, compensation benchmarking, talent advisory","hr consulting, organizational effectiveness, talent strategy, change management, hr transformation",hr consultant
Technology Consultant,Consulting,btech|mba|mtech|pgdm,"digital strategy, cloud advisory, agile, solution design, vendor management, business case development, presentation","technology advisory, digital transformation, enterprise architecture, cloud strategy, tech enabled change",technology consultant
Intellectual Property Lawyer,Legal,llb|llm|ba llb|btech llb,"ip law, trademark, copyright, patent filing, ip litigation, licensing, ip strategy, legal research","intellectual property, patent law, ip protection, technology law, ip commercialization",intellectual property lawyer
Labour Law Specialist,Legal,llb|llm|ba llb|ma industrial relations,"labour law, employment law, grievance, industrial disputes, conciliation, labour codes, hr compliance, legal drafting","labour relations, employment law, industrial disputes, workforce compliance, labour regulations",labour law specialist
Legal Research Analyst,Legal,llb|llm|ba llb,"legal research, case analysis, statutory interpretation, westlaw, legal drafting, briefs, memo writing, regulatory research","legal research, case law, regulatory analysis, policy interpretation, academic legal work",legal research analyst
In-house Counsel,Legal,llb|llm|ba llb,"contract drafting, negotiation, regulatory compliance, corporate law, risk management, company law, legal advisory, dispute resolution","corporate legal, contracts, regulatory affairs, legal risk, business law advisory",in-house counsel
Health Data Analyst,Healthcare,bsc statistics|msc public health|btech|mba healthcare,"sql, python, healthcare data, ehr systems, icd coding, data visualization, tableau, health metrics, epidemiology","health analytics, clinical data, population health, outcomes research, hospital operations",health data analyst
Hospital Operations Manager,Healthcare,mba healthcare|mha|pgdm|msc public health,"operations management, hospital administration, workflow optimization, budgeting, staff management, compliance, patient flow","hospital administration, healthcare operations, patient experience, clinical workflows, quality improvement",hospital operations manager
Clinical Research Coordinator,Healthcare,bsc life sciences|mbbs|bpharm|msc clinical research,"clinical trials, protocol adherence, patient recruitment, data collection, gcp, regulatory submissions, irb documentation","clinical research, drug trials, patient safety, research protocols, evidence generation",clinical research coordinator
Telemedicine Specialist,Healthcare,mbbs|msc healthcare|mba healthcare|dnb,"telehealth platforms, virtual consultation, clinical assessment, remote monitoring, patient communication, digital health, ehr","digital health, remote care, telehealth, virtual medicine, patient access",telemedicine specialist
Pharmacovigilance Specialist,Pharma & Biotech,bpharm|mpharm|mbbs|msc pharmacology,"adverse event reporting, eudravigilance, meddra, icsrs, safety database, signal detection, pv regulations, narrative writing","drug safety, adverse events, patient safety monitoring, pv operations, regulatory reporting",pharmacovigilance specialist
Medical Affairs Executive,Pharma & Biotech,mbbs|bpharm|mpharm|msc life sciences|phd,"medical communication, kol management, clinical data interpretation, disease area expertise, scientific platforms, dossier preparation","medical communications, kol engagement, therapeutic area expertise, scientific education, evidence dissemination",medical affairs executive
Quality Assurance Specialist,Pharma & Biotech,bpharm|mpharm|bsc chemistry|msc microbiology,"gmp, qa audits, deviations, capa, sops, validation, regulatory compliance, fda, ich guidelines, quality systems","pharmaceutical quality, gmp compliance, regulatory audits, quality systems, product quality assurance",quality assurance specialist
Formulation Scientist,Pharma & Biotech,bpharm|mpharm|msc chemistry|phd pharmacy,"drug formulation, preformulation, excipients, stability studies, analytical testing, pharmaceutical development, dosage forms","pharmaceutical development, drug formulations, dosage form design, stability testing, product development",formulation scientist
Product Design Engineer,Mechanical Engineering,btech mechanical|be mechanical|mtech design|diploma mechanical,"cad, solidworks, catia, product development, dfm, tolerance analysis, prototyping, fea, material selection, gd&t","product design, mechanical design, new product development, prototyping, industrial design",product design engineer
HVAC Engineer,Mechanical Engineering,btech mechanical|be mechanical|diploma hvac|mtech thermal,"hvac design, duct design, heat load calculation, chiller systems, ahu, autocad, ashrae, hvac systems commissioning","building hvac, thermal comfort, energy efficiency, mechanical services, hvac design",hvac engineer
Thermal Engineer,Mechanical Engineering,btech mechanical|mtech thermal|be mechanical,"thermodynamics, heat transfer, cfd, ansys, heat exchangers, thermal analysis, fluid mechanics, cooling systems","thermal analysis, heat management, energy systems, cfd simulation, thermal design",thermal engineer
Automobile Engineer,Mechanical Engineering,btech mechanical|be automobile|diploma automobile|mtech,"vehicle dynamics, engine systems, powertrain, autocad, catia, automotive testing, obd, adas, norms compliance","automotive engineering, vehicle design, powertrain, ev systems, automotive testing",automobile engineer
Project Engineer Civil,Civil Engineering,btech civil|be civil|diploma civil|mtech structural,"project management, site supervision, autocad, estimation, contract management, quality control, ms project, pert cpm, stakeholder coordination","construction project management, site execution, infrastructure delivery, project planning, quality assurance",project engineer civil
Environmental Engineer,Civil Engineering,btech civil|be environmental|mtech environmental|msc environmental science,"environmental impact assessment, etp, sewage treatment, pollution control, eia reports, sustainability, water treatment, solid waste","environmental sustainability, pollution control, green engineering, water treatment, eia",environmental engineer
Transportation Engineer,Civil Engineering,btech civil|mtech transportation|be civil,"highway design, traffic analysis, autocad, pavement design, geometric design, transportation planning, vissim, road safety","transportation infrastructure, road design, traffic systems, highway engineering, urban mobility",transportation engineer
Geotechnical Engineer,Civil Engineering,btech civil|mtech geotechnical|be civil,"soil mechanics, foundation design, slope stability, borehole analysis, geotechnical reports, plaxis, ground improvement, retaining walls","geotechnical investigation, soil analysis, foundation engineering, ground improvement, subsurface studies",geotechnical engineer
Lean Manufacturing Engineer,Manufacturing & Quality,btech mechanical|be industrial|mtech manufacturing|diploma,"lean manufacturing, six sigma, value stream mapping, kaizen, 5s, waste reduction, time and motion study, production optimization","lean transformation, process improvement, waste elimination, operational excellence, manufacturing efficiency",lean manufacturing engineer
Supply Chain Quality Analyst,Manufacturing & Quality,btech mechanical|be industrial|msc quality|mba operations,"supplier audits, incoming quality control, apqp, ppap, root cause analysis, supplier corrective actions, spc, quality systems","supplier quality, incoming inspection, supply chain compliance, quality control, vendor development",supply chain quality analyst
Production Planner,Manufacturing & Quality,btech mechanical|be industrial|mba operations|diploma,"production planning, mrp, erp, capacity planning, scheduling, inventory control, demand forecasting, cross functional coordination","production scheduling, capacity optimization, manufacturing planning, resource allocation, order fulfillment",production planner
EHS Engineer,Manufacturing & Quality,btech mechanical|be chemical|msc safety|diploma ehs,"environment health safety, risk assessment, incident investigation, iso 14001, ohsas 18001, safety audits, hazard analysis, permits to work","workplace safety, environmental compliance, hazard management, safety culture, ehs audits",ehs engineer
Growth Marketer,Marketing,mba marketing|pgdm|bba|btech,"growth hacking, a/b testing, funnel optimization, paid ads, email marketing, product led growth, analytics, referral programs, retention","user acquisition, growth experiments, retention marketing, viral growth, conversion optimization",growth marketer
Product Marketing Manager,Marketing,mba marketing|pgdm|bba|btech,"go-to-market strategy, positioning, messaging, competitive analysis, product launches, sales enablement, customer research","product launches, positioning strategy, gtm execution, competitive intelligence, customer insights",product marketing manager
Email Marketing Specialist,Marketing,mba marketing|pgdm|bba|bsc computer science,"email marketing, mailchimp, hubspot, segmentation, drip campaigns, a/b testing, html emails, deliverability, automation","email campaigns, marketing automation, audience segmentation, retention marketing, lifecycle marketing",email marketing specialist
Market Research Analyst,Marketing,mba marketing|pgdm|msc statistics|bba,"primary research, secondary research, qualtrics, survey design, focus groups, competitive analysis, market sizing, reports","market insights, consumer behavior, competitive research, brand tracking, industry analysis",market research analyst
Video Producer,Media & Content,bsc mass communication|ba journalism|diploma film|bjmc,"video production, scriptwriting, editing, premiere pro, final cut, cinematography, color grading, storyboarding, project management","video storytelling, documentary, branded content, digital video, film production",video producer
Podcast Producer,Media & Content,bsc mass communication|ba journalism|bjmc|diploma audio,"audio recording, podcast editing, audacity, adobe audition, scripting, show notes, distribution, audience building","podcast creation, audio storytelling, interview format, content strategy, audience growth",podcast producer
Copywriter,Media & Content,ba english|bjmc|bsc mass communication|ba journalism,"advertising copy, brand voice, headline writing, campaigns, persuasive writing, storytelling, digital content, seo writing","advertising, brand storytelling, creative writing, campaign concepts, persuasion",copywriter
Photojournalist,Media & Content,ba journalism|bjmc|bsc mass communication|diploma photography,"photography, news writing, photo editing, lightroom, field reporting, story research, caption writing, journalism ethics, camera operations","photojournalism, documentary photography, news reporting, visual storytelling, field journalism, editorial photography",photojournalist
Warehouse Manager,Operations & Supply Chain,mba operations|btech industrial|bba|diploma logistics,"warehouse operations, wms, inventory management, team leadership, space optimization, safety, 5s, inbound outbound operations","warehouse management, distribution operations, inventory control, fulfillment, logistics operations",warehouse manager
Demand Planner,Operations & Supply Chain,mba operations|bsc statistics|btech industrial|bba,"demand forecasting, supply planning, s&op, excel, erp, statistical models, inventory optimization, cross functional collaboration","demand planning, supply chain optimization, s&op process, forecasting accuracy, inventory management",demand planner
Import Export Specialist,Operations & Supply Chain,mba international trade|bcom|pgdm logistics|diploma customs,"customs clearance, incoterms, trade compliance, freight forwarding, documentation, letter of credit, hs codes, import regulations","international trade, customs, freight forwarding, trade documentation, global logistics",import export specialist
Vendor Manager,Operations & Supply Chain,mba operations|btech|bba|pgdm supply chain,"vendor selection, contract negotiation, supplier performance, rfp rfq, cost management, relationship management, procurement","vendor relationships, supplier management, procurement strategy, contract management, sourcing",vendor manager
Enterprise Sales Manager,Sales,mba|pgdm|btech|bba,"enterprise sales, consultative selling, crm, pipeline management, negotiation, c-suite engagement, account planning, solution selling","enterprise deals, strategic accounts, solution selling, b2b sales, revenue growth",enterprise sales manager
Channel Sales Manager,Sales,mba|pgdm|bba|btech,"channel management, partner onboarding, distributor management, revenue targets, co-selling, incentive programs, crm","channel partnerships, distributor network, partner ecosystem, indirect sales, channel growth",channel sales manager
Sales Operations Analyst,Sales,mba|pgdm|bsc statistics|btech,"crm analytics, salesforce, pipeline reporting, quota setting, compensation modeling, revenue analytics, sql, excel","sales analytics, revenue operations, crm optimization, pipeline management, sales enablement",sales operations analyst
Urban Planner,Government & Public Policy,mba public policy|ma urban planning|btech civil|msc urban studies,"land use planning, gis, zoning, urban development, public consultation, policy analysis, master plans, smart city","urban development, city planning, public space, infrastructure policy, land use",urban planner
Public Health Officer,Government & Public Policy,mbbs|msc public health|mph|bsc public health,"epidemiology, public health programs, surveillance, health policy, community outreach, vaccination programs, disease prevention","public health, disease prevention, community health, health policy, epidemiology",public health officer
Economic Policy Analyst,Government & Public Policy,ma economics|mba public policy|msc economics|ba economics,"economic analysis, policy modeling, data analysis, policy briefs, stakeholder engagement, fiscal policy, regression analysis","economic policy, fiscal analysis, policy research, macroeconomics, government advisory",economic policy analyst
CSR Manager,Government & Public Policy,mba|ma social work|pgdm|ba sociology,"csr strategy, ngo coordination, impact reporting, stakeholder engagement, budget management, community programs, esg","corporate social responsibility, sustainability, community impact, esg, social programs",csr manager
E-commerce Manager,Retail & E-commerce,mba|pgdm|btech|bba,"marketplace management, amazon seller central, flipkart, catalogue management, promotions, pricing strategy, analytics, customer experience","online retail, marketplace growth, product listing optimization, e-commerce strategy, digital retail",e-commerce manager
Retail Buyer,Retail & E-commerce,mba|pgdm|bba|fashion merchandising,"buying, vendor negotiation, range planning, trend analysis, open to buy, product selection, supplier management, margin optimization","product sourcing, range planning, buyer vendor relations, trend forecasting, retail assortment",retail buyer
Customer Experience Manager,Retail & E-commerce,mba|pgdm|bba|bsc,"cx strategy, nps, customer journey mapping, service design, complaint resolution, feedback analysis, cx tools, stakeholder management","customer satisfaction, service excellence, cx improvement, customer retention, feedback management",customer experience manager
Visual Merchandiser,Retail & E-commerce,bdes|diploma fashion|bba retail|fine arts,"store display, planogram, window dressing, brand guidelines, visual communication, retail layout, colour blocking, product placement","store design, visual displays, brand presentation, in-store experience, product merchandising",visual merchandiser
Revenue Manager,Hospitality & Travel,mba hospitality|bsc hotel management|pgdm|diploma hotel management,"revenue management, pricing strategy, otas, channel management, forecasting, pms, yield management, compset analysis","hotel revenue, pricing strategy, otas, occupancy optimization, revenue optimization",revenue manager
Food and Beverage Manager,Hospitality & Travel,bsc hotel management|diploma hospitality|mba hospitality,"f&b operations, menu planning, cost control, staff management, vendor management, food safety, customer service, pos systems","food beverage operations, menu design, restaurant management, customer dining experience, cost control",food and beverage manager
Tour Operations Manager,Hospitality & Travel,bba tourism|mba tourism|bsc hospitality|diploma travel,"tour planning, vendor coordination, travel logistics, itinerary design, client management, costing, gds, destination knowledge","tour packaging, destination management, travel operations, group tours, itinerary planning",tour operations manager
Actor,Performing Arts & Entertainment,ba literature|ba performing arts|theatre diploma|acting diploma|mass communication,"acting, method acting, improvisation, voice modulation, script analysis, auditioning, stage performance, camera acting, character development, dialogue delivery, dance, stage combat","film acting, screen acting, theatre, web series, cinema, performance, casting, reel, commercials, digital media",actor
Theatre Actor,Performing Arts & Entertainment,ba literature|ba performing arts|theatre diploma|acting diploma,"acting, stage performance, script analysis, voice projection, improvisation, character development, rehearsal discipline, movement, dialogue delivery","theatre, stage actor, live performance, drama, play production, ensemble performance, theatrical performance",theatre actor
Voice Actor,Performing Arts & Entertainment,acting diploma|ba performing arts|mass communication|ba literature,"voice modulation, diction, script reading, acting, audio recording, character voice, pronunciation, narration","voice over, dubbing, narration, commercial voice, audio performance, voice acting",voice actor
Computer Science Faculty,Education & Research,mca|msc computer science|mtech computer science|mphil|phd|btech computer science,"teaching, programming, python, sql, software engineering, database management, curriculum development, assessment, lecture delivery, student mentoring, academic writing, presentation, manual testing, software testing, tableau, power bi, machine learning, ai","computer science faculty, programming instructor, software teaching, college teaching, lab instruction, higher education, assistant professor computer science, data analytics teaching, software testing faculty, machine learning teaching, tableau, power bi",computer science faculty
Academic Research Lead,Education & Research,phd|mphil|mtech|msc|ma,"research, academic writing, publication writing, literature review, project leadership, data analysis, faculty mentoring, presentation, grant writing, research supervision, spss, bibliometric analysis, systematic literature review, editorial work","research leadership, publications, faculty research, research cell, project investigator, scholarly output, conference presentations, academic research lead, director research and development cell, book chapters, journal publications, invited talks, patent",academic research lead
Hotel Operations Manager,Hospitality & Travel,bsc hotel management|hotel management diploma|mba hospitality,"hotel operations, guest relations, front office, property management systems, team management, service quality, budgeting, shift operations, problem resolution","hotel operations, resort operations, guest satisfaction, front office management, hospitality operations, service excellence",hotel operations manager
