Role,Experience_Years,Skills,Salary_LPA
Tax Consultant,3,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",7.72
Tax Consultant,4,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",8.48
Tax Consultant,5,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",9.3
Tax Consultant,6,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",10.18
Tax Consultant,7,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",11.12
Tax Consultant,8,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",12.12
Tax Consultant,9,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",13.18
Tax Consultant,10,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",14.3
Tax Consultant,11,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",15.48
Tax Consultant,12,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",16.72
Tax Consultant,13,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",18.02
Tax Consultant,14,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",19.38
Tax Consultant,15,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",20.8
Risk Analyst,0,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",5.8
Risk Analyst,1,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",6.38
Risk Analyst,2,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",7.02
Risk Analyst,3,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",7.72
Risk Analyst,4,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",8.48
Risk Analyst,5,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",9.3
Risk Analyst,6,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",10.18
Risk Analyst,7,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",11.12
Risk Analyst,8,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",12.12
Risk Analyst,9,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",13.18
Risk Analyst,10,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",14.3
Risk Analyst,11,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",15.48
Risk Analyst,12,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",16.72
Risk Analyst,13,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",18.02
Risk Analyst,14,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",19.38
Risk Analyst,15,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",20.8
Talent Acquisition Specialist,0,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",5.4
Talent Acquisition Specialist,1,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",5.98
Talent Acquisition Specialist,2,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",6.62
Talent Acquisition Specialist,3,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",7.32
Talent Acquisition Specialist,4,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",8.08
Talent Acquisition Specialist,5,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",8.9
Talent Acquisition Specialist,6,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",9.78
Talent Acquisition Specialist,7,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",10.72
Talent Acquisition Specialist,8,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",11.72
Talent Acquisition Specialist,9,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",12.78
Talent Acquisition Specialist,10,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",13.9
Talent Acquisition Specialist,11,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",15.08
Talent Acquisition Specialist,12,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",16.32
Talent Acquisition Specialist,13,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",17.62
Talent Acquisition Specialist,14,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",18.98
Talent Acquisition Specialist,15,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",20.4
HR Generalist,0,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",5.4
HR Generalist,1,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",5.98
HR Generalist,2,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",6.62
HR Generalist,3,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",7.32
HR Generalist,4,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",8.08
HR Generalist,5,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",8.9
HR Generalist,6,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",9.78
HR Generalist,7,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",10.72
HR Generalist,8,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",11.72
HR Generalist,9,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",12.78
HR Generalist,10,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",13.9
HR Generalist,11,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",15.08
HR Generalist,12,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",16.32
HR Generalist,13,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",17.62
HR Generalist,14,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",18.98
HR Generalist,15,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",20.4
HRBP,0,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",7.2
HRBP,1,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",7.78
HRBP,2,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",8.42
HRBP,3,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",9.12
HRBP,4,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",9.88
HRBP,5,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",10.7
HRBP,6,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",11.58
HRBP,7,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",12.52
HRBP,8,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",13.52
HRBP,9,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",14.58
HRBP,10,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",15.7
HRBP,11,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",16.88
HRBP,12,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",18.12
HRBP,13,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",19.42
HRBP,14,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",20.78
HRBP,15,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",22.2
Learning and Development Specialist,0,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",5.4
Learning and Development Specialist,1,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",5.98
Learning and Development Specialist,2,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",6.62
Learning and Development Specialist,3,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",7.32
Learning and Development Specialist,4,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",8.08
Learning and Development Specialist,5,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",8.9
Learning and Development Specialist,6,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",9.78
Learning and Development Specialist,7,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",10.72
Learning and Development Specialist,8,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",11.72
Learning and Development Specialist,9,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",12.78
Learning and Development Specialist,10,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",13.9
Learning and Development Specialist,11,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",15.08
Learning and Development Specialist,12,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",16.32
Learning and Development Specialist,13,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",17.62
Learning and Development Specialist,14,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",18.98
Learning and Development Specialist,15,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",20.4
Compensation and Benefits Analyst,0,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",5.4
Compensation and Benefits Analyst,1,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",5.98
Compensation and Benefits Analyst,2,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",6.62
Compensation and Benefits Analyst,3,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",7.32
Compensation and Benefits Analyst,4,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",8.08
Compensation and Benefits Analyst,5,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",8.9
Compensation and Benefits Analyst,6,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",9.78
Compensation and Benefits Analyst,7,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",10.72
Compensation and Benefits Analyst,8,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",11.72
Compensation and Benefits Analyst,9,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",12.78
Compensation and Benefits Analyst,10,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",13.9
Compensation and Benefits Analyst,11,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",15.08
Compensation and Benefits Analyst,12,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",16.32
Compensation and Benefits Analyst,13,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",17.62
Compensation and Benefits Analyst,14,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",18.98
Compensation and Benefits Analyst,15,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",20.4
Supply Chain Analyst,0,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",5.6
Supply Chain Analyst,1,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",6.18
Supply Chain Analyst,2,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",6.82
Supply Chain Analyst,3,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",7.52
Supply Chain Analyst,4,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",8.28
Supply Chain Analyst,5,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",9.1
Supply Chain Analyst,6,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",9.98
Supply Chain Analyst,7,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",10.92
Supply Chain Analyst,8,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",11.92
Supply Chain Analyst,9,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",12.98
Supply Chain Analyst,10,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",14.1
Supply Chain Analyst,11,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",15.28
Supply Chain Analyst,12,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",16.52
Supply Chain Analyst,13,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",17.82
Supply Chain Analyst,14,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",19.18
Supply Chain Analyst,15,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",20.6
Procurement Specialist,0,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",5.6
Procurement Specialist,1,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",6.18
Procurement Specialist,2,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",6.82
Procurement Specialist,3,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",7.52
Procurement Specialist,4,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",8.28
Procurement Specialist,5,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",9.1
Procurement Specialist,6,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",9.98
Procurement Specialist,7,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",10.92
Procurement Specialist,8,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",11.92
Procurement Specialist,9,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",12.98
Procurement Specialist,10,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",14.1
Procurement Specialist,11,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",15.28
Procurement Specialist,12,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",16.52
Procurement Specialist,13,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",17.82
Procurement Specialist,14,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",19.18
Procurement Specialist,15,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",20.6
Logistics Coordinator,0,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",5.6
Logistics Coordinator,1,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",6.18
Logistics Coordinator,2,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",6.82
Logistics Coordinator,3,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",7.52
Logistics Coordinator,4,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",8.28
Logistics Coordinator,5,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",9.1
Logistics Coordinator,6,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",9.98
Logistics Coordinator,7,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",10.92
Logistics Coordinator,8,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",11.92
Logistics Coordinator,9,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",12.98
Logistics Coordinator,10,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",14.1
Logistics Coordinator,11,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",15.28
Logistics Coordinator,12,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",16.52
Logistics Coordinator,13,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",17.82
Logistics Coordinator,14,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",19.18
Logistics Coordinator,15,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",20.6
Operations Analyst,0,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",5.6
Operations Analyst,1,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",6.18
Operations Analyst,2,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",6.82
Operations Analyst,3,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",7.52
Operations Analyst,4,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",8.28
Operations Analyst,5,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",9.1
Operations Analyst,6,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",9.98
Operations Analyst,7,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",10.92
Operations Analyst,8,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",11.92
Operations Analyst,9,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",12.98
Operations Analyst,10,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",14.1
Operations Analyst,11,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",15.28
Operations Analyst,12,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",16.52
Operations Analyst,13,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",17.82
Operations Analyst,14,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",19.18
Operations Analyst,15,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",20.6
Inventory Planner,0,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",5.6
Inventory Planner,1,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",6.18
Inventory Planner,2,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",6.82
Inventory Planner,3,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",7.52
Inventory Planner,4,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",8.28
Inventory Planner,5,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",9.1
Inventory Planner,6,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",9.98
Inventory Planner,7,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",10.92
Inventory Planner,8,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",11.92
Inventory Planner,9,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",12.98
Inventory Planner,10,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",14.1
Inventory Planner,11,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",15.28
Inventory Planner,12,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",16.52
Inventory Planner,13,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",17.82
Inventory Planner,14,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",19.18
Inventory Planner,15,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",20.6
Management Consultant,0,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",8.0
Management Consultant,1,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",8.58
Management Consultant,2,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",9.22
Management Consultant,3,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",9.92
Management Consultant,4,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",10.68
Management Consultant,5,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",11.5
Management Consultant,6,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",12.38
Management Consultant,7,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",13.32
Management Consultant,8,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",14.32
Management Consultant,9,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",15.38
Management Consultant,10,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",16.5
Management Consultant,11,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",17.68
Management Consultant,12,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",18.92
Management Consultant,13,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",20.22
Management Consultant,14,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",21.58
Management Consultant,15,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication",23.0
Strategy Analyst,0,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",8.0
Strategy Analyst,1,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",8.58
Strategy Analyst,2,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",9.22
Strategy Analyst,3,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",9.92
Strategy Analyst,4,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",10.68
Strategy Analyst,5,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",11.5
Strategy Analyst,6,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",12.38
Strategy Analyst,7,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",13.32
Strategy Analyst,8,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",14.32
Strategy Analyst,9,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",15.38
Strategy Analyst,10,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",16.5
Strategy Analyst,11,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",17.68
Strategy Analyst,12,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",18.92
Strategy Analyst,13,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",20.22
Strategy Analyst,14,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",21.58
Strategy Analyst,15,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",23.0
Operations Consultant,0,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",8.0
Operations Consultant,1,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",8.58
Operations Consultant,2,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",9.22
Operations Consultant,3,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",9.92
Operations Consultant,4,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",10.68
Operations Consultant,5,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",11.5
Operations Consultant,6,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",12.38
Operations Consultant,7,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",13.32
Operations Consultant,8,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",14.32
Operations Consultant,9,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",15.38
Operations Consultant,10,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",16.5
Operations Consultant,11,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",17.68
Operations Consultant,12,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",18.92
Operations Consultant,13,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",20.22
Operations Consultant,14,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",21.58
Operations Consultant,15,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",23.0
